Title,Tag,Explanation,Upsolve,Practice
Data Types & Conditions,Week 0,https://youtu.be/-8HeEpiPGEw,https://youtu.be/Gxhu9bMLsyA,https://codeforces.com/group/ad1tgTiYqR/contest/646399
Loops,Week 1,https://youtu.be/2hExttjc93U,https://youtu.be/4Ou6hBPdpIE,https://codeforces.com/group/ad1tgTiYqR/contest/647607
Arrays,Week 2,https://drive.google.com/file/d/1hqLP8I947q5g1mGCu8xborFGv2XKTpte,,https://codeforces.com/group/ad1tgTiYqR/contest/650431
Strings,Week 3,https://drive.google.com/file/d/1FK_LoqgL7Hr6H32S7AeZq9CAAZYtmcrL,,https://codeforces.com/group/ad1tgTiYqR/contest/658700
Time Complexity & Functions,Week 4,https://youtu.be/VSuqOMGcXO4,,https://codeforces.com/group/ad1tgTiYqR/contest/660014
Math,Week 5,,,
STL Part 1,Week 6,,,
STL Part 2,Week 7,,,
8-10: General Practice,Weeks 8-10,,,
