Title,Tag,Explanation,Upsolve,Practice
Static Range Queries,Week 0,https://youtu.be/FBzALeRGEGY,https://youtu.be/Szmgsswga8A,https://vjudge.net/contest/756150
Two Pointers,Week 1,https://youtu.be/Pg526lDmtD0,https://youtu.be/HNd8rL_UI6U,https://vjudge.net/contest/758414
Binary Search,Week 2,#,#,https://vjudge.net/group/icpc-thebes-Level-1-2026
Bitmask,Week 3,#,#,https://vjudge.net/group/icpc-thebes-Level-1-2026
Number Theory 1,Week 4,#,#,https://vjudge.net/group/icpc-thebes-Level-1-2026
Number Theory 2,Week 5,#,#,https://vjudge.net/group/icpc-thebes-Level-1-2026
Recursion & Backtracking,Week 6,#,#,https://vjudge.net/group/icpc-thebes-Level-1-2026
