Handle,All,Standings,UnStandings,Percentage
ahmedmagdyoff,163,133,33,100.00%
mennahelal882,159,157,2,97.55%
3moSeifSalah,152,150,2,93.25%
hosamahmed816,151,148,6,92.64%
Mazen.Yehia,139,117,22,85.28%
AhmedAshraf06,139,85,57,85.28%
Ahmed_Hossam_69,126,125,1,77.30%
nehadelsawi,105,105,0,64.42%
abdallahnabil209,103,85,23,63.19%
MalkFares,101,91,12,61.96%
